unitid,name,Classification,state,level,control,Undergraduate Program,Graduate Program,Enrollment Profile,Undergraduate Profile,Size & Setting,Basic,Community Engagement
171456,Northern Michigan University,MastersCollegesAndUniversities-M2,MI,Four or more years,Public,Balanced arts & sciences/professions some graduate coexistence,Postbaccalaureate Comprehensive programs,Very high undergraduate,Four-year full-time selective higher transfer-in,Four-year medium primarily residential,Master's Colleges & Universities Medium Programs,Classified
215947,Seton Hill University,MastersCollegesAndUniversities-M2,PA,Four or more years,Private not-for-profit,Professions plus arts & sciences some graduate coexistence,Postbaccalaureate Other-dominant with Arts & Sciences,High undergraduate,Four-year full-time selective lower transfer-in,Four-year small highly residential,Master's Colleges & Universities Medium Programs,Not Classified
240268,University of Wisconsin-Eau Claire,MastersCollegesAndUniversities-M2,WI,Four or more years,Public,Balanced arts & sciences/professions some graduate coexistence,Postbaccalaureate Business-dominant with Arts & Sciences,Very high undergraduate,Four-year full-time selective lower transfer-in,Four-year medium primarily residential,Master's Colleges & Universities Medium Programs,Not Classified
123651,Vanguard University of Southern California,MastersCollegesAndUniversities-M2,CA,Four or more years,Private not-for-profit,Balanced arts & sciences/professions some graduate coexistence,Postbaccalaureate Other-dominant with Arts & Sciences,Very high undergraduate,Four-year full-time inclusive lower transfer-in,Four-year small highly residential,Master's Colleges & Universities Medium Programs,Not Classified
156213,Asbury University,MastersCollegesAndUniversities-M3,KY,Four or more years,Private not-for-profit,Professions plus arts & sciences some graduate coexistence,Postbaccalaureate Education-dominant with Arts & Sciences,Very high undergraduate,Four-year full-time selective lower transfer-in,Four-year small highly residential,Master's Colleges & Universities Small Programs,Not Classified
190691,CUNY York College,MastersCollegesAndUniversities-M3,NY,Four or more years,Public,Balanced arts & sciences/professions some graduate coexistence,Postbaccalaureate Other-dominant with Arts & Sciences,Very high undergraduate,Four-year medium full-time lower transfer-in higher transfer-in,Four-year medium primarily nonresidential,Master's Colleges & Universities Small Programs,Not Classified
153375,Grand View University,MastersCollegesAndUniversities-M3,IA,Four or more years,Private not-for-profit,Professions plus arts & sciences some graduate coexistence,Postbaccalaureate Business-dominant with other professional programs,Very high undergraduate,Four-year full-time inclusive higher transfer-in,Four-year small highly residential,Master's Colleges & Universities Small Programs,Not Classified
183257,Granite State College,MastersCollegesAndUniversities-M3,NH,Four or more years,Public,Professions plus arts & sciences some graduate coexistence,Postbaccalaureate Business-dominant with other professional programs,High undergraduate,Four-year higher part-time,Four-year small primarily nonresidential,Master's Colleges & Universities Small Programs,Not Classified
242626,Inter American University of Puerto Rico-Aguadilla,MastersCollegesAndUniversities-M3,PR,Four or more years,Private not-for-profit,Professions plus arts & sciences some graduate coexistence,Postbaccalaureate Business-dominant with Arts & Sciences,Very high undergraduate,Four-year full-time more selective lower transfer-in,Four-year medium primarily nonresidential,Master's Colleges & Universities Small Programs,Not Classified
159568,Louisiana Christian University,MastersCollegesAndUniversities-M3,LA,Four or more years,Private not-for-profit,Professions plus arts & sciences some graduate coexistence,Postbaccalaureate Education-dominant with other professional programs,High undergraduate,Four-year full-time inclusive lower transfer-in,Four-year very small highly residential,Master's Colleges & Universities Small Programs,Not Classified
443784,Strayer University-Pennsylvania,MastersCollegesAndUniversities-M3,PA,Four or more years,Private for-profit,Professions focus some graduate coexistence,Postbaccalaureate Business-dominant with Arts & Sciences,High undergraduate,Four-year higher part-time,Four-year very small primarily nonresidential,Master's Colleges & Universities Small Programs,Not Classified
210571,Albright College,Baccalaureate-ArtsAndSciences,PA,Four or more years,Private not-for-profit,Balanced arts & sciences/professions no graduate coexistence,Postbaccalaureate Single program-Education Education,Very high undergraduate,Four-year full-time inclusive lower transfer-in,Four-year small highly residential,Baccalaureate Colleges Arts & Sciences Focus,Not Classified
231581,Bridgewater College,Baccalaureate-ArtsAndSciences,VA,Four or more years,Private not-for-profit,Balanced arts & sciences/professions some graduate coexistence,Postbaccalaureate Other-dominant with Arts & Sciences,Very high undergraduate,Four-year full-time inclusive lower transfer-in,Four-year small highly residential,Baccalaureate Colleges Arts & Sciences Focus,Not Classified
153162,Cornell College,Baccalaureate-ArtsAndSciences,IA,Four or more years,Private not-for-profit,Arts & sciences plus professions no graduate coexistence,Not classified (Exclusively Undergraduate),Very high undergraduate,Four-year full-time selective lower transfer-in,Four-year very small highly residential,Baccalaureate Colleges Arts & Sciences Focus,Not Classified
150400,DePauw University,Baccalaureate-ArtsAndSciences,IN,Four or more years,Private not-for-profit,Arts & sciences focus no graduate coexistence,Not classified (Exclusively Undergraduate),Exclusively undergraduate four-year,Four-year full-time selective lower transfer-in,Four-year small highly residential,Baccalaureate Colleges Arts & Sciences Focus,Not Classified
220181,Fisk University,Baccalaureate-ArtsAndSciences,TN,Four or more years,Private not-for-profit,Arts & sciences plus professions some graduate coexistence,Postbaccalaureate Other-dominant with Arts & Sciences,Very high undergraduate,Four-year full-time selective lower transfer-in,Four-year very small highly residential,Baccalaureate Colleges Arts & Sciences Focus,Not Classified
191515,Hamilton College,Baccalaureate-ArtsAndSciences,NY,Four or more years,Private not-for-profit,Arts & sciences focus no graduate coexistence,Not classified (Exclusively Undergraduate),Exclusively undergraduate four-year,Four-year full-time more selective lower transfer-in,Four-year small highly residential,Baccalaureate Colleges Arts & Sciences Focus,Not Classified
146481,Lake Forest College,Baccalaureate-ArtsAndSciences,IL,Four or more years,Private not-for-profit,Arts & sciences plus professions some graduate coexistence,Postbaccalaureate Education-dominant with Arts & Sciences,Very high undergraduate,Four-year full-time selective higher transfer-in,Four-year small highly residential,Baccalaureate Colleges Arts & Sciences Focus,Not Classified
167288,Massachusetts College of Liberal Arts,Baccalaureate-ArtsAndSciences,MA,Four or more years,Public,Arts & sciences plus professions some graduate coexistence,Postbaccalaureate Education-dominant with other professional programs,Very high undergraduate,Four-year full-time inclusive higher transfer-in,Four-year small highly residential,Baccalaureate Colleges Arts & Sciences Focus,Not Classified
221351,Rhodes College,Baccalaureate-ArtsAndSciences,TN,Four or more years,Private not-for-profit,Arts & sciences plus professions no graduate coexistence,Postbaccalaureate Business-dominant with other professional programs,Very high undergraduate,Four-year full-time more selective lower transfer-in,Four-year small highly residential,Baccalaureate Colleges Arts & Sciences Focus,Classified
195526,Skidmore College,Baccalaureate-ArtsAndSciences,NY,Four or more years,Private not-for-profit,Arts & sciences focus some graduate coexistence,Not classified (Exclusively Undergraduate),Exclusively undergraduate four-year,Four-year full-time more selective lower transfer-in,Four-year small highly residential,Baccalaureate Colleges Arts & Sciences Focus,Not Classified
232681,University of Mary Washington,Baccalaureate-ArtsAndSciences,VA,Four or more years,Public,Arts & sciences plus professions some graduate coexistence,Postbaccalaureate Education-dominant with Arts & Sciences,Very high undergraduate,Four-year full-time selective higher transfer-in,Four-year medium highly residential,Baccalaureate Colleges Arts & Sciences Focus,Not Classified
233374,University of Richmond,Baccalaureate-ArtsAndSciences,VA,Four or more years,Private not-for-profit,Balanced arts & sciences/professions some graduate coexistence,Postbaccalaureate Other-dominant with Arts & Sciences,High undergraduate,Four-year full-time more selective lower transfer-in,Four-year medium highly residential,Baccalaureate Colleges Arts & Sciences Focus,Classified
154527,Wartburg College,Baccalaureate-ArtsAndSciences,IA,Four or more years,Private not-for-profit,Balanced arts & sciences/professions no graduate coexistence,Not classified (Exclusively Undergraduate),Very high undergraduate,Four-year full-time inclusive lower transfer-in,Four-year small highly residential,Baccalaureate Colleges Arts & Sciences Focus,Classified
178369,Missouri Valley College,Baccalaureate-DiverseFields,MO,Four or more years,Private not-for-profit,Professions plus arts & sciences no graduate coexistence,Postbaccalaureate Single program-Education Other,Very high undergraduate,Four-year full-time inclusive higher transfer-in,Four-year small highly residential,Baccalaureate Colleges Diverse Fields,Not Classified
137962,Trinity College of Florida,Baccalaureate-DiverseFields,FL,Four or more years,Private not-for-profit,Professions focus no graduate coexistence,Not classified (Exclusively Undergraduate),Exclusively undergraduate four-year,Four-year full-time inclusive higher transfer-in,Four-year very small highly residential,Baccalaureate Colleges Diverse Fields,Not Classified
218654,University of South Carolina Beaufort,Baccalaureate-DiverseFields,SC,Four or more years,Public,Balanced arts & sciences/professions no graduate coexistence,Not classified (Exclusively Undergraduate),Very high undergraduate,Four-year full-time inclusive higher transfer-in,Four-year small highly residential,Baccalaureate Colleges Diverse Fields,Not Classified
220206,Welch College,Baccalaureate-DiverseFields,TN,Four or more years,Private not-for-profit,Professions focus some graduate coexistence,Postbaccalaureate Single program-Education Other,Very high undergraduate,Four-year medium full-time lower transfer-in higher transfer-in,Four-year very small primarily residential,Baccalaureate Colleges Diverse Fields,Not Classified
106306,Arkansas Baptist College,Baccalaureate/Associates-MixedBaccalaureate/Associates,AR,Four or more years,Private not-for-profit,Baccalaureate/Associates Colleges,Not classified (Exclusively Undergraduate),Exclusively undergraduate four-year,Four-year medium full-time lower transfer-in higher transfer-in,Four-year very small primarily residential,Baccalaureate/Associate's Colleges Mixed Baccalaureate/Associate's,Not Classified
189583,Bryant & Stratton College-Buffalo,Baccalaureate/Associates-MixedBaccalaureate/Associates,NY,Four or more years,Private for-profit,Baccalaureate/Associates Colleges,Not classified (Exclusively Undergraduate),Exclusively undergraduate four-year,Four-year medium full-time lower transfer-in higher transfer-in,Four-year very small primarily nonresidential,Baccalaureate/Associate's Colleges Mixed Baccalaureate/Associate's,Not Classified
480091,Bryant & Stratton College-Online,Baccalaureate/Associates-MixedBaccalaureate/Associates,NY,Four or more years,Private for-profit,Baccalaureate/Associates Colleges,Not classified (Exclusively Undergraduate),Exclusively undergraduate four-year,Four-year medium full-time lower transfer-in higher transfer-in,Four-year medium primarily nonresidential,Baccalaureate/Associate's Colleges Mixed Baccalaureate/Associate's,Not Classified
134608,Indian River State College,Baccalaureate/Associates-MixedBaccalaureate/Associates,FL,Four or more years,Public,Baccalaureate/Associates Colleges,Not classified (Exclusively Undergraduate),Exclusively undergraduate four-year,Four-year higher part-time,Four-year medium primarily nonresidential,Baccalaureate/Associate's Colleges Mixed Baccalaureate/Associate's,Not Classified
188517,Bryant & Stratton College-Albany,Baccalaureate/Associates-AssociatesDominant,NY,Four or more years,Private for-profit,Baccalaureate/Associates Colleges,Not classified (Exclusively Undergraduate),Exclusively undergraduate four-year,Four-year medium full-time lower transfer-in higher transfer-in,Four-year very small primarily nonresidential,Baccalaureate/Associate's Colleges Associate's Dominant,Not Classified
207397,Oklahoma State University-Oklahoma City,Baccalaureate/Associates-AssociatesDominant,OK,Four or more years,Public,Baccalaureate/Associates Colleges,Not classified (Exclusively Undergraduate),Exclusively undergraduate four-year,Four-year higher part-time,Four-year small primarily nonresidential,Baccalaureate/Associate's Colleges Associate's Dominant,Not Classified
201946,University of Cincinnati-Clermont College,Baccalaureate/Associates-AssociatesDominant,OH,Four or more years,Public,Baccalaureate/Associates Colleges,Not classified (Exclusively Undergraduate),Exclusively undergraduate four-year,Four-year higher part-time,Four-year small primarily nonresidential,Baccalaureate/Associate's Colleges Associate's Dominant,Not Classified
155104,Garden City Community College,Associates-HighTransfer-HighTraditional,KS,At least 2 but less than 4 years,Public,Associate's Colleges High Transfer,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year mixed part/full-time,Two-year small,Associate's Colleges High Transfer-High Traditional,Not Classified
203289,International College of Broadcasting,Associates-HighTransfer-HighTraditional,OH,At least 2 but less than 4 years,Private for-profit,Associate's Colleges High Transfer,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher full-time,Two-year very small,Associate's Colleges High Transfer-High Traditional,Not Classified
216083,South Hills School of Business & Technology,Associates-HighTransfer-HighTraditional,PA,At least 2 but less than 4 years,Private for-profit,Associate's Colleges High Transfer,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year medium full-time,Two-year very small,Associate's Colleges High Transfer-High Traditional,Not Classified
221485,Southwest Tennessee Community College,Associates-HighTransfer-HighTraditional,TN,At least 2 but less than 4 years,Public,Associate's Colleges High Transfer,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year mixed part/full-time,Two-year medium,Associate's Colleges High Transfer-High Traditional,Not Classified
188438,SUNY Adirondack,Associates-HighTransfer-HighTraditional,NY,At least 2 but less than 4 years,Public,Associate's Colleges High Transfer,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year mixed part/full-time,Two-year small,Associate's Colleges High Transfer-High Traditional,Not Classified
211307,Bucks County Community College,Associates-HighTransfer-MixedTraditional/Nontraditional,PA,At least 2 but less than 4 years,Public,Associate's Colleges High Transfer,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year medium,Associate's Colleges High Transfer-Mixed Traditional/Nontraditional,Not Classified
104346,Central Arizona College,Associates-HighTransfer-MixedTraditional/Nontraditional,AZ,At least 2 but less than 4 years,Public,Associate's Colleges High Transfer,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year medium,Associate's Colleges High Transfer-Mixed Traditional/Nontraditional,Not Classified
198260,Central Piedmont Community College,Associates-HighTransfer-MixedTraditional/Nontraditional,NC,At least 2 but less than 4 years,Public,Associate's Colleges High Transfer,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year large,Associate's Colleges High Transfer-Mixed Traditional/Nontraditional,Not Classified
420398,Northwest Vista College,Associates-HighTransfer-MixedTraditional/Nontraditional,TX,At least 2 but less than 4 years,Public,Associate's Colleges High Transfer,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year large,Associate's Colleges High Transfer-Mixed Traditional/Nontraditional,Not Classified
227924,San Antonio College,Associates-HighTransfer-MixedTraditional/Nontraditional,TX,At least 2 but less than 4 years,Public,Associate's Colleges High Transfer,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year large,Associate's Colleges High Transfer-Mixed Traditional/Nontraditional,Not Classified
236656,South Puget Sound Community College,Associates-HighTransfer-MixedTraditional/Nontraditional,WA,At least 2 but less than 4 years,Public,Associate's Colleges High Transfer,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year mixed part/full-time,Two-year medium,Associate's Colleges High Transfer-Mixed Traditional/Nontraditional,Not Classified
211307,Bucks County Community College,Associates-HighTransfer-MixedTraditional/Nontraditional,PA,At least 2 but less than 4 years,Public,Associate's Colleges High Transfer,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year medium,Associate's Colleges High Transfer-Mixed Traditional/Nontraditional,Not Classified
104346,Central Arizona College,Associates-HighTransfer-MixedTraditional/Nontraditional,AZ,At least 2 but less than 4 years,Public,Associate's Colleges High Transfer,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year medium,Associate's Colleges High Transfer-Mixed Traditional/Nontraditional,Not Classified
198260,Central Piedmont Community College,Associates-HighTransfer-MixedTraditional/Nontraditional,NC,At least 2 but less than 4 years,Public,Associate's Colleges High Transfer,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year large,Associate's Colleges High Transfer-Mixed Traditional/Nontraditional,Not Classified
420398,Northwest Vista College,Associates-HighTransfer-MixedTraditional/Nontraditional,TX,At least 2 but less than 4 years,Public,Associate's Colleges High Transfer,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year large,Associate's Colleges High Transfer-Mixed Traditional/Nontraditional,Not Classified
227924,San Antonio College,Associates-HighTransfer-MixedTraditional/Nontraditional,TX,At least 2 but less than 4 years,Public,Associate's Colleges High Transfer,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year large,Associate's Colleges High Transfer-Mixed Traditional/Nontraditional,Not Classified
236656,South Puget Sound Community College,Associates-HighTransfer-MixedTraditional/Nontraditional,WA,At least 2 but less than 4 years,Public,Associate's Colleges High Transfer,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year mixed part/full-time,Two-year medium,Associate's Colleges High Transfer-Mixed Traditional/Nontraditional,Not Classified
208406,Clackamas Community College,Associates-HighTransfer-HighNontraditional,OR,At least 2 but less than 4 years,Public,Associate's Colleges High Transfer,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year medium,Associate's Colleges High Transfer-High Nontraditional,Not Classified
384342,Heartland Community College,Associates-HighTransfer-HighNontraditional,IL,At least 2 but less than 4 years,Public,Associate's Colleges High Transfer,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year medium,Associate's Colleges High Transfer-High Nontraditional,Not Classified
173799,Inver Hills Community College,Associates-HighTransfer-HighNontraditional,MN,At least 2 but less than 4 years,Public,Associate's Colleges High Transfer,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year medium,Associate's Colleges High Transfer-High Nontraditional,Not Classified
428392,Klamath Community College,Associates-HighTransfer-HighNontraditional,OR,At least 2 but less than 4 years,Public,Associate's Colleges High Transfer,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year small,Associate's Colleges High Transfer-High Nontraditional,Not Classified
188003,New Mexico State University-Carlsbad,Associates-HighTransfer-HighNontraditional,NM,At least 2 but less than 4 years,Public,Associate's Colleges High Transfer,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year small,Associate's Colleges High Transfer-High Nontraditional,Not Classified
217615,Aiken Technical College,Associates-MixedTransfer/Career&Technical-HighTraditional,SC,At least 2 but less than 4 years,Public,Associate's Colleges Mixed Transfer/Career & Technical,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year small,Associate's Colleges Mixed Transfer/Career & Technical-High Traditional,Not Classified
222576,Amarillo College,Associates-MixedTransfer/Career&Technical-HighTraditional,TX,At least 2 but less than 4 years,Public,Associate's Colleges Mixed Transfer/Career & Technical,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year large,Associate's Colleges Mixed Transfer/Career & Technical-High Traditional,Not Classified
175315,Century College,Associates-MixedTransfer/Career&Technical-MixedTraditional/Nontraditional,MN,At least 2 but less than 4 years,Public,Associate's Colleges Mixed Transfer/Career & Technical,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year medium,Associate's Colleges Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,Not Classified
162690,Hagerstown Community College,Associates-MixedTransfer/Career&Technical-MixedTraditional/Nontraditional,MD,At least 2 but less than 4 years,Public,Associate's Colleges Mixed Transfer/Career & Technical,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year small,Associate's Colleges Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,Not Classified
363633,Luna Community College,Associates-MixedTransfer/Career&Technical-MixedTraditional/Nontraditional,NM,At least 2 but less than 4 years,Public,Associate's Colleges Mixed Transfer/Career & Technical,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year very small,Associate's Colleges Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,Not Classified
233772,Tidewater Community College,Associates-MixedTransfer/Career&Technical-MixedTraditional/Nontraditional,VA,At least 2 but less than 4 years,Public,Associate's Colleges Mixed Transfer/Career & Technical,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year large,Associate's Colleges Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,Not Classified
169974,Glen Oaks Community College,Associates-MixedTransfer/Career&Technical-HighNontraditional,MI,At least 2 but less than 4 years,Public,Associate's Colleges Mixed Transfer/Career & Technical,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year small,Associate's Colleges Mixed Transfer/Career & Technical-High Nontraditional,Not Classified
146348,Kankakee Community College,Associates-MixedTransfer/Career&Technical-HighNontraditional,IL,At least 2 but less than 4 years,Public,Associate's Colleges Mixed Transfer/Career & Technical,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year small,Associate's Colleges Mixed Transfer/Career & Technical-High Nontraditional,Not Classified
146366,Kaskaskia College,Associates-MixedTransfer/Career&Technical-HighNontraditional,IL,At least 2 but less than 4 years,Public,Associate's Colleges Mixed Transfer/Career & Technical,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year small,Associate's Colleges Mixed Transfer/Career & Technical-High Nontraditional,Not Classified
117247,Laney College,Associates-MixedTransfer/Career&Technical-HighNontraditional,CA,At least 2 but less than 4 years,Public,Associate's Colleges Mixed Transfer/Career & Technical,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year medium,Associate's Colleges Mixed Transfer/Career & Technical-High Nontraditional,Not Classified
180373,Miles Community College,Associates-MixedTransfer/Career&Technical-HighNontraditional,MT,At least 2 but less than 4 years,Public,Associate's Colleges Mixed Transfer/Career & Technical,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year mixed part/full-time,Two-year very small,Associate's Colleges Mixed Transfer/Career & Technical-High Nontraditional,Not Classified
414911,Pennsylvania Highlands Community College,Associates-MixedTransfer/Career&Technical-HighNontraditional,PA,At least 2 but less than 4 years,Public,Associate's Colleges Mixed Transfer/Career & Technical,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year small,Associate's Colleges Mixed Transfer/Career & Technical-High Nontraditional,Not Classified
148380,Rock Valley College,Associates-MixedTransfer/Career&Technical-HighNontraditional,IL,At least 2 but less than 4 years,Public,Associate's Colleges Mixed Transfer/Career & Technical,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year mixed part/full-time,Two-year medium,Associate's Colleges Mixed Transfer/Career & Technical-High Nontraditional,Not Classified
227854,St Philip's College,Associates-MixedTransfer/Career&Technical-HighNontraditional,TX,At least 2 but less than 4 years,Public,Associate's Colleges Mixed Transfer/Career & Technical,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year large,Associate's Colleges Mixed Transfer/Career & Technical-High Nontraditional,Not Classified
158343,Baton Rouge School of Computers,SpecialFocus-TwoYear-TechProfessions,LA,At least 2 but less than 4 years,Private for-profit,Special Focus: Two-Year Institution,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year mixed part/full-time,Two-year very small,Special Focus Two-Year Technical Professions,Not Classified
133997,Florida Career College-Miami,SpecialFocus-TwoYear-TechProfessions,FL,At least 2 but less than 4 years,Private for-profit,Special Focus: Two-Year Institution,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher full-time,Two-year small,Special Focus Two-Year Technical Professions,Not Classified
491446,Bnos Zion Of Bobov Seminary,SpecialFocus-TwoYear-OtherFields,NY,At least 2 but less than 4 years,Private not-for-profit,Special Focus: Two-Year Institution,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher full-time,Two-year very small,Special Focus Two-Year Other Fields,Not Classified
230056,Broadview College,SpecialFocus-TwoYear-OtherFields,UT,Four or more years,Private for-profit,Special Focus: Two-Year Institution,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year very small,Special Focus Two-Year Other Fields,Not Classified
193061,Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,SpecialFocus-TwoYear-OtherFields,NY,Four or more years,Private not-for-profit,Special Focus: Two-Year Institution,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher full-time,Two-year very small,Special Focus Two-Year Other Fields,Not Classified
194693,Rabbinical College Beth Shraga,SpecialFocus-TwoYear-OtherFields,NY,Four or more years,Private not-for-profit,Special Focus: Two-Year Institution,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher full-time,Two-year very small,Special Focus Two-Year Other Fields,Not Classified
233338,Richard Bland College,SpecialFocus-TwoYear-OtherFields,VA,At least 2 but less than 4 years,Public,Special Focus: Two-Year Institution,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year higher part-time,Two-year small,Special Focus Two-Year Other Fields,Not Classified
486594,Wave Leadership College,SpecialFocus-TwoYear-OtherFields,VA,At least 2 but less than 4 years,Private not-for-profit,Special Focus: Two-Year Institution,Not classified (Exclusively Undergraduate),Exclusively undergraduate two-year,Two-year mixed part/full-time,Two-year very small,Special Focus Two-Year Other Fields,Not Classified
