University Name ,Page ,title,Privacy related content 
Suffolk County Community College,Sub Link,Website Privacy Statement,"This website may contain links to other websites. These linked sites are created and
                              maintained by other public and/or private organizations, and are not connected to,
                              under the control of, or associated with the College. We do not endorse or maintain,
                              and are not responsible for the privacy practices, content, advertising, products,
                              services, or information on or available through such websites. Because the College
                              has no control over linked sites' content, the College makes no guarantees, and accepts
                              no liability, regarding it, including, but not limited to, its availability, accuracy,
                              currency, content, quality, or lack of objectionable or offensive content. This disclaimer
                              also applies to any other web sites those sites may link to. External linked web sites
                              are not provided as a benefit to the linked party. Inclusion of the linked web sites
                              does not imply or constitute an endorsement or promotion by the College of any persons
                              or organizations sponsoring the displayed websites. If you decide to visit any linked
                              site, you do so at your own risk, and it is your responsibility to take all protective
                              measures to guard against viruses or other destructive elements inherent on the internet."
Suffolk County Community College,Sub Link,Website Privacy Statement,"Cookies may be set by parties other than us. These “third-party cookies” may, for
                              example, originate from social media services corporations' website for which www.sunysuffolk.edu
                              has implemented “plug-ins.” Since the cookie privacy practices of these sites change
                              over time, you should determine their practices by visiting the Privacy Statement
                              pages of these sites directly."
Suffolk County Community College,Sub Link,Website Privacy Statement,"This Privacy Statement may be amended from time to time. Any such changes will be
                              posted on this page."
Suffolk County Community College,Sub Link,Website Privacy Statement,"This Privacy Statement was last revised on September 24, 2018."
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,Master Privacy Statement | University of the Pacific
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,"
					Master Privacy Statement
				"
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,"University of the Pacific respects the privacy of your personally identifiable information and does not, under any circumstances, rent or sell personal information submitted by visitors to our site to any outside third party."
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,The university is committed to upholding our community members' and visitors' right to privacy.
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,"In the course of fulfilling its mission of teaching, learning and scholarship, the University employs a variety of record keeping systems and collects and uses a variety of information associated with its past, present and future customers, including faculty, staff and students. In addition to observing all applicable privacy and confidentiality laws, the University respects and protects individual privacy through this Master Privacy Statement and, where applicable, a series of Privacy Statement Addendums. Privacy Statement Addendums are specific to the information being collected and/or the specific academic or administrative units that collects it. Privacy Statement Addendums, if applicable, appear at the point of data collection."
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,Privacy Statement Definitions:
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,Privacy Statement Precepts
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,Privacy Statement Precepts
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,"Except for Directory Information, consider all personally identifiable information as confidential under its Computing and Communications Confidentiality Policy, sharing it only on a need-to-know basis under the terms of this Master Privacy Statement and any applicable Privacy Statement Addendums."
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,"Practice good stewardship of Directory Information, using it appropriately under applicable laws, this Master Privacy Statement and any applicable Privacy Statement Addendums."
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,"Change this Master Privacy Statement from time to time without prior notice or consent, but if changes are made, that fact will be prominently and widely communicated. A Change history for the Master Privacy Statement will be maintained off the Privacy Statement link on Pacific's Home Page."
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,privacy@pacific.edu
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,"Unless explicitly stated otherwise in a specific Privacy Statement Addendum, Pacific may:"
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,"Share protected Health Information with authorized third parties as permitted under the HIPAA Privacy Rule solely for the purpose of treatment, payment, or and health care operations."
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,"Not provide personally identifiable information to third parties for any purpose unrelated to the mission of the University without the explicit permission of the information provider or as specified in the HIPAA Privacy Rule. This includes, but is not limited to the marketing of commercial goods or the provision of commercial services."
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,"Add a consent line to information input sources, like forms or screens, stating that by their agreement their information will be managed under the University's Privacy Statement and/or a particular Privacy Statement Addendum(s). Failure to sign would halt the associated business process, perhaps resulting in the inability of the University to provide desired services or considerations."
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,Master Privacy Statement | University of the Pacific
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,"
					Master Privacy Statement
				"
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,"University of the Pacific respects the privacy of your personally identifiable information and does not, under any circumstances, rent or sell personal information submitted by visitors to our site to any outside third party."
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,The university is committed to upholding our community members' and visitors' right to privacy.
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,"In the course of fulfilling its mission of teaching, learning and scholarship, the University employs a variety of record keeping systems and collects and uses a variety of information associated with its past, present and future customers, including faculty, staff and students. In addition to observing all applicable privacy and confidentiality laws, the University respects and protects individual privacy through this Master Privacy Statement and, where applicable, a series of Privacy Statement Addendums. Privacy Statement Addendums are specific to the information being collected and/or the specific academic or administrative units that collects it. Privacy Statement Addendums, if applicable, appear at the point of data collection."
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,Privacy Statement Definitions:
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,Privacy Statement Precepts
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,Privacy Statement Precepts
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,"Except for Directory Information, consider all personally identifiable information as confidential under its Computing and Communications Confidentiality Policy, sharing it only on a need-to-know basis under the terms of this Master Privacy Statement and any applicable Privacy Statement Addendums."
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,"Practice good stewardship of Directory Information, using it appropriately under applicable laws, this Master Privacy Statement and any applicable Privacy Statement Addendums."
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,"Change this Master Privacy Statement from time to time without prior notice or consent, but if changes are made, that fact will be prominently and widely communicated. A Change history for the Master Privacy Statement will be maintained off the Privacy Statement link on Pacific's Home Page."
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,privacy@pacific.edu
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,"Unless explicitly stated otherwise in a specific Privacy Statement Addendum, Pacific may:"
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,"Share protected Health Information with authorized third parties as permitted under the HIPAA Privacy Rule solely for the purpose of treatment, payment, or and health care operations."
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,"Not provide personally identifiable information to third parties for any purpose unrelated to the mission of the University without the explicit permission of the information provider or as specified in the HIPAA Privacy Rule. This includes, but is not limited to the marketing of commercial goods or the provision of commercial services."
University of the Pacific,Sub Link,Master Privacy Statement | University of the Pacific,"Add a consent line to information input sources, like forms or screens, stating that by their agreement their information will be managed under the University's Privacy Statement and/or a particular Privacy Statement Addendum(s). Failure to sign would halt the associated business process, perhaps resulting in the inability of the University to provide desired services or considerations."
University of Evansville,Sub Link,University of Evansville Privacy Statement - Site Map - University of Evansville,University of Evansville Privacy Statement - Site Map - University of Evansville
University of Evansville,Sub Link,University of Evansville Privacy Statement - Site Map - University of Evansville,University of Evansville Privacy Statement
University of Evansville,Sub Link,University of Evansville Privacy Statement - Site Map - University of Evansville,University of Evansville Privacy Statement
University of Evansville,Sub Link,University of Evansville Privacy Statement - Site Map - University of Evansville,University of Evansville Privacy Statement
University of Evansville,Sub Link,University of Evansville Privacy Statement - Site Map - University of Evansville,"This privacy statement discloses the privacy practices for www.evansville.edu, the main University of Evansville (UE) website. By using this website, you are consenting to our collection and use of information in accordance with this Privacy Statement."
University of Evansville,Sub Link,University of Evansville Privacy Statement - Site Map - University of Evansville,"Because web technologies continue to develop and evolve rapidly, the University of Evansville may alter this Statement in the future. Any such changes will continue to reflect the University's commitment to safeguarding the privacy of its web visitors and will be posted in a revised Privacy Statement."
University of Evansville,Sub Link,University of Evansville Privacy Statement - Site Map - University of Evansville,Google's Privacy Policy
University of Evansville,Sub Link,University of Evansville Privacy Statement - Site Map - University of Evansville,The UE website contains links to many third-party sites which are beyond our control. UE is not responsible for the privacy practices or consent of third party sites.
University of Evansville,Sub Link,University of Evansville Privacy Statement - Site Map - University of Evansville,"No transmission of data over the Internet can be guaranteed to be completely secure due to how rapidly information technology evolves. While UE is committed to safeguarding the privacy of its users, we cannot guarantee the security of any information that you transmit to University websites, and you do so at your own risk. Upon receiving your information, we will use reasonable safeguards to maintain the security of information on our systems."
University of Evansville,Sub Link,University of Evansville Privacy Statement - Site Map - University of Evansville,"
				We included this resource on our website because we think you’ll find this information or link relevant to what you’re looking for. This website is not operated by UE nor is UE responsible for the content or the accessibility on this third-party site. If you have any concerns about the website, we encourage you to read and evaluate the privacy and security policies of the site just in case it differs from UE. Please, confirm you want to open this page.
			"
The New School,Sub Link,The New School Website Privacy Notice - Information Security & Privacy Office,The New School Website Privacy Notice - Information Security & Privacy Office
The New School,Sub Link,The New School Website Privacy Notice - Information Security & Privacy Office,"This privacy notice applies to all personal data we collect or process about you, including from you directly (e.g., when you contact us by email or request information through our website), data we generate about you in the course of our relationship with you (e.g., data collected from cookies and other similar technologies as described below) and data we collect about you from other sources, including commercially available sources, such as public databases (where permitted by law)."
The New School,Sub Link,The New School Website Privacy Notice - Information Security & Privacy Office,https://ispo.newschool.edu/policies/privacy-notices/
The New School,Sub Link,The New School Website Privacy Notice - Information Security & Privacy Office,Changes to the privacy notice
The New School,Sub Link,The New School Website Privacy Notice - Information Security & Privacy Office,privacyoffice@newschool.edu
The New School,Sub Link,The New School Website Privacy Notice - Information Security & Privacy Office,"We are committed to working with you to obtain a fair resolution of any complaint or concern about your privacy. If, however, you believe that we have not been able to assist with your complaint or concern, you have the right to make a complaint to the applicable supervisory data protection authority:"
The New School,Sub Link,The New School Website Privacy Notice - Information Security & Privacy Office,You may request a copy of this privacy notice from us using the contact details set out above. We may modify or update this privacy notice from time to time.
The New School,Sub Link,The New School Website Privacy Notice - Information Security & Privacy Office,"Where changes to this privacy notice will have a fundamental impact on the nature of the processing or otherwise have a substantial impact on you, we will notify you of the changes and give you sufficient advance notice so that you have the opportunity to exercise your rights (for example, to object to the processing)."
Wright State University-Lake Campus,Sub Link,Wright State University Technology Services Privacy Statement | Wright State University,Wright State University Technology Services Privacy Statement | Wright State University
Wright State University-Lake Campus,Sub Link,Wright State University Technology Services Privacy Statement | Wright State University,"Wright State University recognizes the importance of privacy and is committed to protecting the personal information of our students, faculty, staff, alumni, and guests.  This Privacy Statement explains the type of personal information Wright State collects through its technology services (e.g. University websites (i.e. wright.edu), web forms, chatbots, email, mobile apps, content available through feeds like RSS) and how that information is used. Some areas of Wright State may have a different and specific privacy statement for their services (e.g. the Bursar, University Registrar), and those privacy statements can be found on the appropriate website where applicable or will be provided directly to you electronically or on paper when appropriate."
Wright State University-Lake Campus,Sub Link,Wright State University Technology Services Privacy Statement | Wright State University,"Wright State complies with the Family Educational Rights and Privacy Act (FERPA), which prohibits the release of education records except in limited circumstances. Wright State also complies with the applicable provisions of the Gramm-Leach-Bliley Act (GLBA) and the Health Insurance Portability and Accountability Act (HIPAA) where relevant and appropriate."
Wright State University-Lake Campus,Sub Link,Wright State University Technology Services Privacy Statement | Wright State University,"Within Wright State’s technology services, non-Wright State websites or services may be linked or made available through our online services. When you use third-party websites or services, you leave Wright State’s technology services (i.e. website) and no longer will be subject to our Privacy Statement. Wright State is not responsible for the privacy practices or the content of non-Wright State technology services, and such links or services made available are not intended to be an endorsement of those sites or their content."
Wright State University-Lake Campus,Sub Link,Wright State University Technology Services Privacy Statement | Wright State University,"The information contained in this Privacy Statement explains the privacy procedures and practices that Wright State has adopted for its technology services. In legal terms, this Privacy Statement shall not be construed as a contractual promise, and Wright State reserves the right to amend it at any time without notice. Neither Wright State nor any of its programs, employees, agents, or individual trustees shall be held liable for any improper or incorrect use of the information described and/or contained in Wright State’s technology services and assumes no responsibility for anyone’s use of the information."
Wright State University-Lake Campus,Sub Link,Wright State University Technology Services Privacy Statement | Wright State University,Consent to This Privacy Statement
Wright State University-Lake Campus,Sub Link,Wright State University Technology Services Privacy Statement | Wright State University,"By using Wright State’s technology services, you signify that you agree with the terms of the most current version of the Privacy Statement as posted in this area of the website. If you do not agree with any term in this Privacy Statement, please do not provide any personal information on Wright State’s technology services.  If you do not provide personal information on Wright State’s technology services, you may not be able to do certain things, like access particular areas of the University website, request certain types of information, or send us email communications."
Wright State University-Lake Campus,Sub Link,Wright State University Technology Services Privacy Statement | Wright State University,Changes to the Privacy Statement 
Wright State University-Lake Campus,Sub Link,Wright State University Technology Services Privacy Statement | Wright State University,"We may occasionally decide to change our Privacy Statement. If there are changes to this Privacy Statement, we will post those changes here."
Wright State University-Lake Campus,Sub Link,Wright State University Technology Services Privacy Statement | Wright State University,privacy@wright.edu
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Online Privacy Statement | Franklin University
Franklin University,Sub Link,Online Privacy Statement | Franklin University,"
  Franklin University Privacy Policy
"
Franklin University,Sub Link,Online Privacy Statement | Franklin University,"Franklin University (“Franklin”, “University”, or “We”) respects your privacy and is committed to protecting it through our compliance with this policy. This Privacy Policy (“Policy”) outlines how we collect, use, and protect the personal information of our website visitors and users. "
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Privacy Settings
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Manage Your Privacy Settings
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Manage Your Privacy Settings
Franklin University,Sub Link,Online Privacy Statement | Franklin University,privacy@franklin.edu
Franklin University,Sub Link,Online Privacy Statement | Franklin University,1.4 Global Privacy Control (GPC)
Franklin University,Sub Link,Online Privacy Statement | Franklin University,6. Children's Privacy
Franklin University,Sub Link,Online Privacy Statement | Franklin University,privacy@franklin.edu
Franklin University,Sub Link,Online Privacy Statement | Franklin University,https://www.franklin.edu/about-us/policy-information/notice-privacy-rig…
Franklin University,Sub Link,Online Privacy Statement | Franklin University,8. Changes to the Privacy Policy
Franklin University,Sub Link,Online Privacy Statement | Franklin University,privacy@franklin.edu
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Your Privacy Settings
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Privacy Policy
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Notice of Privacy Rights (FERPA)
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Privacy Statement
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Online Privacy Statement | Franklin University
Franklin University,Sub Link,Online Privacy Statement | Franklin University,"
  Franklin University Privacy Policy
"
Franklin University,Sub Link,Online Privacy Statement | Franklin University,"Franklin University (“Franklin”, “University”, or “We”) respects your privacy and is committed to protecting it through our compliance with this policy. This Privacy Policy (“Policy”) outlines how we collect, use, and protect the personal information of our website visitors and users. "
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Privacy Settings
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Manage Your Privacy Settings
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Manage Your Privacy Settings
Franklin University,Sub Link,Online Privacy Statement | Franklin University,privacy@franklin.edu
Franklin University,Sub Link,Online Privacy Statement | Franklin University,1.4 Global Privacy Control (GPC)
Franklin University,Sub Link,Online Privacy Statement | Franklin University,6. Children's Privacy
Franklin University,Sub Link,Online Privacy Statement | Franklin University,privacy@franklin.edu
Franklin University,Sub Link,Online Privacy Statement | Franklin University,https://www.franklin.edu/about-us/policy-information/notice-privacy-rig…
Franklin University,Sub Link,Online Privacy Statement | Franklin University,8. Changes to the Privacy Policy
Franklin University,Sub Link,Online Privacy Statement | Franklin University,privacy@franklin.edu
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Your Privacy Settings
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Privacy Policy
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Notice of Privacy Rights (FERPA)
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Privacy Statement
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Online Privacy Statement | Franklin University
Franklin University,Sub Link,Online Privacy Statement | Franklin University,"
  Franklin University Privacy Policy
"
Franklin University,Sub Link,Online Privacy Statement | Franklin University,"Franklin University (“Franklin”, “University”, or “We”) respects your privacy and is committed to protecting it through our compliance with this policy. This Privacy Policy (“Policy”) outlines how we collect, use, and protect the personal information of our website visitors and users. "
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Privacy Settings
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Manage Your Privacy Settings
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Manage Your Privacy Settings
Franklin University,Sub Link,Online Privacy Statement | Franklin University,privacy@franklin.edu
Franklin University,Sub Link,Online Privacy Statement | Franklin University,1.4 Global Privacy Control (GPC)
Franklin University,Sub Link,Online Privacy Statement | Franklin University,6. Children's Privacy
Franklin University,Sub Link,Online Privacy Statement | Franklin University,privacy@franklin.edu
Franklin University,Sub Link,Online Privacy Statement | Franklin University,https://www.franklin.edu/about-us/policy-information/notice-privacy-rig…
Franklin University,Sub Link,Online Privacy Statement | Franklin University,8. Changes to the Privacy Policy
Franklin University,Sub Link,Online Privacy Statement | Franklin University,privacy@franklin.edu
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Your Privacy Settings
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Privacy Policy
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Notice of Privacy Rights (FERPA)
Franklin University,Sub Link,Online Privacy Statement | Franklin University,Privacy Statement
University of Arkansas-Fort Smith,Sub Link,UAFS Privacy Statement,UAFS Privacy Statement
University of Arkansas-Fort Smith,Sub Link,UAFS Privacy Statement,UAFS Privacy Statement
University of Arkansas-Fort Smith,Sub Link,UAFS Privacy Statement,"Except as noted, the information in this privacy policy applies to all official University
                                 of Arkansas – Fort Smith websites, which are defined as those administered through
                                 the university content management system, such as university colleges and schools,
                                 main departments, divisions, or other units typically reporting to or deemed official
                                 by the chancellor, provost, vice chancellors, deans, directors and/or department heads/chairs.
                                 These sites comply with the university template, graphics and Web standards as managed
                                 by Marketing & Communications. Certain official websites may have their own or supplementary
                                 privacy policies appropriate to their function or as required by law."
University of Arkansas-Fort Smith,Sub Link,UAFS Privacy Statement,"Within the university domain (uafs.edu) are various websites that are not maintained
                                    by the university. These unofficial sites include, but are not limited to, RSO sites,
                                    and other campus entities. This privacy policy only applies to official university
                                    websites. "
University of Arkansas-Fort Smith,Sub Link,UAFS Privacy Statement,"Within the university domain (uafs.edu) are various websites that are not maintained
                                    by the university. These unofficial sites include, but are not limited to, RSO sites,
                                    and other campus entities. This privacy policy only applies to official university
                                    websites. "
University of Arkansas-Fort Smith,Sub Link,UAFS Privacy Statement,Read our Privacy Policy
University of Arkansas-Fort Smith,Sub Link,UAFS Privacy Statement,UAFS Privacy Statement
University of Arkansas-Fort Smith,Sub Link,UAFS Privacy Statement,UAFS Privacy Statement
University of Arkansas-Fort Smith,Sub Link,UAFS Privacy Statement,"Except as noted, the information in this privacy policy applies to all official University
                                 of Arkansas – Fort Smith websites, which are defined as those administered through
                                 the university content management system, such as university colleges and schools,
                                 main departments, divisions, or other units typically reporting to or deemed official
                                 by the chancellor, provost, vice chancellors, deans, directors and/or department heads/chairs.
                                 These sites comply with the university template, graphics and Web standards as managed
                                 by Marketing & Communications. Certain official websites may have their own or supplementary
                                 privacy policies appropriate to their function or as required by law."
University of Arkansas-Fort Smith,Sub Link,UAFS Privacy Statement,"Within the university domain (uafs.edu) are various websites that are not maintained
                                    by the university. These unofficial sites include, but are not limited to, RSO sites,
                                    and other campus entities. This privacy policy only applies to official university
                                    websites. "
University of Arkansas-Fort Smith,Sub Link,UAFS Privacy Statement,"Within the university domain (uafs.edu) are various websites that are not maintained
                                    by the university. These unofficial sites include, but are not limited to, RSO sites,
                                    and other campus entities. This privacy policy only applies to official university
                                    websites. "
University of Arkansas-Fort Smith,Sub Link,UAFS Privacy Statement,Read our Privacy Policy
San Jose State University,Sub Link,Privacy Notice,Privacy Notice
San Jose State University,Sub Link,Privacy Notice,Privacy
San Jose State University,Sub Link,Privacy Notice,"San José State University respects your privacy and is committed to protecting it
                     to the extent possible, subject to applicable state and federal law, through our compliance
                     with our privacy policies and this Privacy Notice."
