error,frequency (percentage)
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_301_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=301',0.020799
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'asu.interviewstream.com'. (_ssl.c:1129)",0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_463_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=463',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_459_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=459',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_455_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=455',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_448_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=448',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_445_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=445',0.020799
'ascii' codec can't encode character '\u200b' in position 211: ordinal not in range(128),0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_439_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=439',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_437_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=437',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_436_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=436',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_435_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=435',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/IEE_456_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=IEE&catalogNbr=456',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/IEE_458_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=IEE&catalogNbr=458',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/STP_429_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=STP&catalogNbr=429',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/SER_422_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=SER&catalogNbr=422',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/SER_423_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=SER&catalogNbr=423',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/STP_421_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=STP&catalogNbr=421',0.020799
[Errno 51] Network is unreachable,0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/SER_421_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=SER&catalogNbr=421',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_460_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=460',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/IEE_431_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=IEE&catalogNbr=431',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_470_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=470',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/IEE_381_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=IEE&catalogNbr=381',0.020799
'ascii' codec can't encode character '\u2013' in position 50: ordinal not in range(128),0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_471_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=471',0.020799
HTTP Error 400: ,0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/AEE_471_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=AEE&catalogNbr=471',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/AEE_463_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=AEE&catalogNbr=463',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/IEE_426_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=IEE&catalogNbr=426',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/IEE_412_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=IEE&catalogNbr=412',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/IEE_385_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=IEE&catalogNbr=385',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_433_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=433',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/IEE_376_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=IEE&catalogNbr=376',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/FSE_301_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=FSE&catalogNbr=301',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_473_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=473',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_480_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=480',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_481_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=481',0.020799
HTTP Error 401: ,0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/FSE_394_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=FSE&catalogNbr=394',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/FSE_404_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=FSE&catalogNbr=404',0.020799
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|co&hl=en&anno=0&ie=UTF8',0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.becambridge.com'. (_ssl.c:1129)",0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|fr&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|fi&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|gl&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|et&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|eo&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|nl&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|da&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|cs&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|hr&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|tl&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|bs&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|zh-TW&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|zh-CN&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|ny&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|ceb&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|ca&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|my&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|bg&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|bn&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|be&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|eu&hl=en&anno=0&ie=UTF8',0.010399
'latin-1' codec can't encode character '\u200b' in position 4: ordinal not in range(256),0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|az&hl=en&anno=0&ie=UTF8',0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.acalog.com'. (_ssl.c:1129)",0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'libguides.park.edu'. (_ssl.c:1129)",0.010399
HTTP Error 403: 403,0.010399
HTTP Error 451: ,0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|ar&hl=en&anno=0&ie=UTF8',0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.html5.com'. (_ssl.c:1129)",0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.goblueraiders.com'. (_ssl.c:1129)",0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'cals_cr.virtualadviser.com'. (_ssl.c:1129)",0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'em.emergency.appstate.edu'. (_ssl.c:1129)",0.010399
HTTP Error 401: Authorization Required,0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'my.tougaloo.edu'. (_ssl.c:1129)",0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.showplacearena.com'. (_ssl.c:1129)",0.010399
[SSL: TLSV1_UNRECOGNIZED_NAME] tlsv1 unrecognized name (_ssl.c:1129),0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.artsys.usmd.edu'. (_ssl.c:1129)",0.010399
unknown url type: hhttp,0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.hutchcollegian.com'. (_ssl.c:1129)",0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.manoa.hawaii.edu'. (_ssl.c:1129)",0.010399
unknown url type: '/https/myallenuniversityedu/ics/admissions/admissionshomepagejnzformnameundergraduate20admissions20applicationportletapplyonline',0.010399
encoding with 'idna' codec failed (UnicodeError: label empty or too long),0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'jobs.paralegal.edu'. (_ssl.c:1129)",0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.bookstore.westga.edu'. (_ssl.c:1129)",0.010399
HTTP Error 308: PERMANENT REDIRECT,0.010399
HTTP Error 308: ,0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.utepbookstore.com'. (_ssl.c:1129)",0.010399
HTTP Error 301: TYPO3 RealURL redirect - Redirection to url 'javascript:void(0)/' is not allowed,0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'nbp.rutgers.edu'. (_ssl.c:1129)",0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.blog.alliance.edu.in'. (_ssl.c:1129)",0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.shepherdbook.com'. (_ssl.c:1129)",0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|hy&hl=en&anno=0&ie=UTF8',0.010399
'ascii' codec can't encode character '\xa0' in position 21: ordinal not in range(128),0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|am&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|sq&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|ht&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|af&hl=en&anno=0&ie=UTF8',0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'alumnae.alverno.edu'. (_ssl.c:1129)",0.010399
nonnumeric port: '//www.office.com/v2/OfficeHome.All&response_mode=form_post&nonce=637830467677390788.MzE3ODEwMzUtMzU4Mi00YjJiLWJiNGItODc4ZmM5M2JiNzkxMTFmNjQ0MWEtOTljYy00OTA3LWJmNzMtY2NmY2RmN2Q1YjRi&ui_locales=en-US&mkt=en-US&client-request-id=d44c8165-cea3-412e-9890-7c7a9a9e2968&state=ZpJaAcc76CF9Jh6-lQA4-Dfx57CW4GSsuJLQ88VDsr_Z7eMuZ3F3eajdJRuFPPFtKiRWx5V6LZXxTgo4DuAhRst_Xam8WCs248uFcCHkGgiW4RnWGZZsDH5F9pz_NZsex2c9o4k6ja7jMA0Ho2aR5Mkjl0dqTHXmAPyf1rHl_I6eqpOebeQuCGWU7JACoXDZsiC6e-CUyv1zaxAPcykagC_JD-2khoSTxqjrrz8EUTr_bdRdkUJRcNaswg_RDie_wUobqItkugp9vF14mr8N_w&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.12.1.0',0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'library.strose.edu'. (_ssl.c:1129)",0.010399
HTTP Error 410: Not Found,0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'global.limestone.edu'. (_ssl.c:1129)",0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.bulletin.uga.edu'. (_ssl.c:1129)",0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.una.bkstr.com'. (_ssl.c:1129)",0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.michaelwehar.com'. (_ssl.c:1129)",0.010399
HTTP Error 404: not found,0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.seattlecolleges.com'. (_ssl.c:1129)",0.010399
'ascii' codec can't encode character '\u200b' in position 12: ordinal not in range(128),0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.txstatebobcats.com'. (_ssl.c:1129)",0.010399
HTTP Error 502: Bad Gateway,0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'libguides.wells.edu'. (_ssl.c:1129)",0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.alcornstate.bkstr.com'. (_ssl.c:1129)",0.010399
HTTP Error 301: Moved Permanently - Redirection to url 'tel:717-477-7447/' is not allowed,0.010399
HTTP Error 301: Moved Permanently - Redirection to url 'tel:717-477-1178/' is not allowed,0.010399
IncompleteRead(93609 bytes read),0.010399
HTTP Error 301: Moved Permanently - Redirection to url 'javascript:void(0);/' is not allowed,0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.umes.bncollege.com'. (_ssl.c:1129)",0.010399
'ascii' codec can't encode character '\u200e' in position 33: ordinal not in range(128),0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'webmail.stonehill.edu'. (_ssl.c:1129)",0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'lchousing.lincolncollege.edu'. (_ssl.c:1129)",0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|ha&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|haw&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|iw&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|ko&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|ka&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|de&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|el&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|jw&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|mk&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|lb&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|lt&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|lv&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|la&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|lo&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|ku&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|km&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|hi&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|kk&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|kn&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|ja&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|gu&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|it&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|ga&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|id&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|ig&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|is&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|hu&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|hmn&hl=en&anno=0&ie=UTF8',0.010399
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.lastfm.com'. (_ssl.c:1129)",0.010399
"HTTP Error 307: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Temporary Redirect",0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|mg&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|ru&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|es&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|so&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|sl&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|sk&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|si&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|sd&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|sn&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|st&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|sr&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|sm&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|ta&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|ro&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|sw&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|pa&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|pt&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|pl&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|fa&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|ps&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|no&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|ne&hl=en&anno=0&ie=UTF8',0.010399
unknown url type: '//translate.google.com/translate?u=https%3A%2F%2Fcatalog.bccc.edu%2F&langpair=en|mn&hl=en&anno=0&ie=UTF8',0.010399
