error,frequency (percentage)
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_310_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=310',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/IEE_380_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=IEE&catalogNbr=380',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_301_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=301',0.020799
[Errno 65] No route to host,0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/AEE_462_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=AEE&catalogNbr=462',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/AEE_426_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=AEE&catalogNbr=426',0.020799
'utf-8' codec can't decode byte 0x90 in position 2: invalid start byte,0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/AEE_415_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=AEE&catalogNbr=415',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_486_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=486',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_485_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=485',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MAT_343_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MAT&catalogNbr=343',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_445_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=445',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_434_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=434',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_412_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=412',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_330_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=330',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_340_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=340',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/ENG_105_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=ENG&catalogNbr=105',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_365_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=365',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_360_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=360',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/ENG_107_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=ENG&catalogNbr=107',0.020799
URL can't contain control characters. '/pdf/Undergraduate Catalog 2023-2024.pdf' (found at least ' '),0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/ENG_102_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=ENG&catalogNbr=102',0.020799
URL can't contain control characters. '/pdf/UW-Parkside_Catalog 23-24.pdf' (found at least ' '),0.020799
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.abet.org.'. (_ssl.c:1129)",0.020799
'utf-8' codec can't decode byte 0xbd in position 11: invalid start byte,0.020799
HTTP Error 404: Page not found,0.020799
URL can't contain control characters. '/tel:(415) 422-5983' (found at least ' '),0.020799
URL can't contain control characters. '/intent/tweet?u=u=http%3A%2F%2Fcatalog.deltacollege.edu%2Fpreview_program.php%3Fcatoid%3D10%26poid%3D2167&t=Check out this program at San Joaquin Delta College' (found at least ' '),0.020799
"URL can't contain control characters. ""/sharer/sharer.php?u=http%3A%2F%2Fcatalog.deltacollege.edu%2Fpreview_program.php%3Fcatoid%3D10%26poid%3D2167&t=I just discovered 'Computer Science, AS-T' at San Joaquin Delta College"" (found at least ' ')",0.020799
URL can't contain control characters. '/javascript: {}' (found at least ' '),0.020799
URL can't contain control characters. '/javascript: ;' (found at least ' '),0.020799
HTTP Error 404: File Not Found,0.020799
'utf-8' codec can't decode byte 0xca in position 339: invalid continuation byte,0.020799
HTTP Error 504: Gateway Time-out,0.020799
'utf-8' codec can't decode byte 0xdc in position 5: invalid continuation byte,0.020799
'utf-8' codec can't decode byte 0xff in position 457: invalid start byte,0.020799
'utf-8' codec can't decode byte 0xe7 in position 82: invalid continuation byte,0.020799
URL can't contain control characters. '/intent/tweet?url=https://catalog.uwp.edu/programs/computer-science/index.html&text=Computer Science' (found at least ' '),0.020799
'utf-8' codec can't decode byte 0x93 in position 10: invalid start byte,0.020799
[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1129),0.020799
'utf-8' codec can't decode byte 0xf1 in position 10: invalid continuation byte,0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/ENG_101_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=ENG&catalogNbr=101',0.020799
'ascii' codec can't encode character '\u2013' in position 95: ordinal not in range(128),0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/ASU_101-CSE_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=ASU&catalogNbr=101-CSE',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_110_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=110',0.020799
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'asu.interviewstream.com'. (_ssl.c:1129)",0.020799
[Errno 51] Network is unreachable,0.020799
URL can't contain control characters. '/tel: 18008721504' (found at least ' '),0.020799
'utf-8' codec can't decode byte 0x80 in position 10: invalid start byte,0.020799
HTTP Error 401: ,0.020799
'ascii' codec can't encode character '\u2013' in position 50: ordinal not in range(128),0.020799
"URL can't contain control characters. '/intent/tweet?u=u=http%3A%2F%2Fcatalog.utk.edu%2Fpreview_program.php%3Fcatoid%3D11%26poid%3D3772&t=Check out this program at University of Tennessee, Knoxville' (found at least ' ')",0.020799
'utf-8' codec can't decode byte 0xff in position 160: invalid start byte,0.020799
URL can't contain control characters. '/pdf/2023-24 University of Montana Academic Catalog.pdf' (found at least ' '),0.020799
URL can't contain control characters. '/mailto:cs_info@astate.edu?subject=Contact From Website' (found at least ' '),0.020799
'utf-8' codec can't decode byte 0xb5 in position 10: invalid start byte,0.020799
'utf-8' codec can't decode byte 0xf9 in position 14: invalid start byte,0.020799
HTTP Error 400: ,0.020799
URL can't contain control characters. '/dA/5d1a4d9722/Comp Sci BS.pdf' (found at least ' '),0.020799
"URL can't contain control characters. ""/sharer/sharer.php?u=http%3A%2F%2Fcatalog.utk.edu%2Fpreview_program.php%3Fcatoid%3D11%26poid%3D3772&t=I just discovered 'Computer Science Major, BS in Computer Science' at University of Tennessee, Knoxville"" (found at least ' ')",0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/AEE_471_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=AEE&catalogNbr=471',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/AEE_463_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=AEE&catalogNbr=463',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_433_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=433',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/IEE_426_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=IEE&catalogNbr=426',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/IEE_412_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=IEE&catalogNbr=412',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/IEE_385_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=IEE&catalogNbr=385',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/IEE_381_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=IEE&catalogNbr=381',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/IEE_376_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=IEE&catalogNbr=376',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/FSE_404_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=FSE&catalogNbr=404',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/FSE_394_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=FSE&catalogNbr=394',0.020799
'utf-8' codec can't decode byte 0x9c in position 67: invalid start byte,0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/FSE_301_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=FSE&catalogNbr=301',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_481_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=481',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_480_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=480',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_473_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=473',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_471_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=471',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_470_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=470',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_463_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=463',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_460_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=460',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_459_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=459',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_455_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=455',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_448_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=448',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_445_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=445',0.020799
'ascii' codec can't encode character '\u200b' in position 211: ordinal not in range(128),0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_439_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=439',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_437_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=437',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_436_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=436',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_435_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=435',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/IEE_431_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=IEE&catalogNbr=431',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/IEE_456_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=IEE&catalogNbr=456',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/IEE_458_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=IEE&catalogNbr=458',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/STP_429_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=STP&catalogNbr=429',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/SER_422_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=SER&catalogNbr=422',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/SER_423_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=SER&catalogNbr=423',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/STP_421_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=STP&catalogNbr=421',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/SER_421_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=SER&catalogNbr=421',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/PHY_462_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=PHY&catalogNbr=462',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/STP_425_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=STP&catalogNbr=425',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/PHY_361_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=PHY&catalogNbr=361',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/PHY_302_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=PHY&catalogNbr=302',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MSE_415_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MSE&catalogNbr=415',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/STP_427_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=STP&catalogNbr=427',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MSE_335_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MSE&catalogNbr=335',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MEE_446_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MEE&catalogNbr=446',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/IEE_461_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=IEE&catalogNbr=461',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MEE_434_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MEE&catalogNbr=434',0.020799
unknown url type: *** broken d,0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MEE_351_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MEE&catalogNbr=351',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MAE_455_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MAE&catalogNbr=455',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MAE_436_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MAE&catalogNbr=436',0.020799
